,P8R2_SOURCE_V6,P8R2_ULTRACLEANVETO_V6,altitude_km,energy_gev,nadir,phi_earth,phi_lat,rocking_angle,shifted_nadir,shifted_zenith,theta_lat,time,zenith
2408,1,1,557.7343186272411,31.832927734375,68.05879211425781,260.8899841308594,95.61774444580078,-92.06880187988281,68.2219862372926,111.7780137627074,65.77474975585938,321693293.94752485,111.94120788574219
2409,1,1,557.7343186272411,23.6106328125,67.473388671875,169.10240173339844,212.38426208496094,-92.06880187988281,67.63658279490978,112.36341720509022,33.330284118652344,321693295.39542985,112.526611328125
2410,1,0,557.6691319960363,34.33880859375,67.91255187988281,236.18240356445312,99.51953125,-93.27459716796875,68.07437056499919,111.92562943500081,43.2920036315918,321693331.69326675,112.08744812011719
2411,1,1,557.6099375722704,14.7662392578125,67.4723892211914,169.76304626464844,211.1131134033203,-94.48234558105469,67.63295890396631,112.36704109603369,30.31574821472168,321693368.108532,112.5276107788086
2412,1,1,557.6099375722704,17.5785625,68.16952514648438,167.68832397460938,214.11318969726562,-94.48234558105469,68.33009482925928,111.66990517074072,31.425880432128906,321693374.57674736,111.83047485351562
2413,1,1,557.5600569705092,21.18251171875,67.85804748535156,203.49713134765625,130.35569763183594,-95.6883773803711,68.01756468742931,111.98243531257069,17.773530960083008,321693402.74530774,112.14195251464844
2414,1,1,557.5123179940725,11.74320703125,68.0185546875,170.73158264160156,211.0615997314453,-96.88939666748047,68.17706459717493,111.82293540282507,27.253416061401367,321693428.05287373,111.9814453125
2415,1,1,557.476133149381,14.4550087890625,68.05689239501953,246.8772430419922,86.16993713378906,-98.08590698242188,68.21463880447148,111.78536119552852,52.23430252075195,321693451.1994393,111.94310760498047
2416,1,1,557.476133149381,13.6483427734375,67.96377563476562,217.98309326171875,96.3084487915039,-98.08590698242188,68.12152204421757,111.87847795578243,26.356430053710938,321693468.6181461,112.03622436523438
2417,1,1,557.476133149381,11.7730205078125,67.82041931152344,229.0093231201172,89.25739288330078,-98.08590698242188,67.97816572097538,112.02183427902462,35.95048141479492,321693471.39372677,112.17958068847656
2418,1,1,557.4320945596631,37.91061328125,68.08209228515625,157.68357849121094,219.1760711669922,-100.46292877197266,68.23890948036514,111.76109051963486,36.13231658935547,321693510.02160764,111.91790771484375
2419,1,1,557.4320945596631,30.464876953125,82.48241424560547,217.81785583496094,54.00370788574219,-100.46292877197266,82.63923144081436,97.36076855918564,24.46306800842285,321693529.08960867,97.51758575439453
2420,1,1,557.4224066832192,11.850806640625,67.51677703857422,194.82455444335938,141.88897705078125,-101.64140319824219,67.67338981959014,112.32661018040986,10.682954788208008,321693542.2599123,112.48322296142578
2421,1,1,557.4224066832192,68.9786015625,67.74319458007812,252.6478271484375,78.85202026367188,-101.64140319824219,67.89980736109405,112.10019263890595,57.463375091552734,321693547.4873902,112.25680541992188
2422,1,0,557.4226824302207,44.52888671875,101.12934112548828,137.57066345214844,260.0328674316406,-102.81198120117188,101.28595972476593,78.71404027523407,59.85689163208008,321693577.3151189,78.87065887451172
2423,1,1,557.4226824302207,10.3369208984375,67.86727142333984,220.3040313720703,80.75335693359375,-102.81198120117188,68.0238900226175,111.9761099773825,27.717052459716797,321693579.67782646,112.13272857666016
2424,1,1,557.4380237249313,12.67138671875,68.02839660644531,161.80697631835938,218.06224060058594,-105.1263427734375,68.18533890704137,111.81466109295863,29.288902282714844,321693627.9810269,111.97160339355469
2425,1,1,557.4380237249313,10.1704228515625,67.61219024658203,209.31431579589844,78.976318359375,-105.1263427734375,67.76913254717809,112.23086745282191,17.850727081298828,321693646.15055436,112.38780975341797
2426,1,1,557.4585079813626,12.488890625,67.83088684082031,211.3983154296875,71.93295288085938,-106.26821899414062,67.98826135922707,112.01173864077293,19.649402618408203,321693675.20098704,112.16911315917969
2427,1,0,557.4585079813626,10.0627509765625,68.08741760253906,251.5113525390625,68.67266082763672,-106.26821899414062,68.24479212094582,111.75520787905418,56.69257354736328,321693678.502651,111.91258239746094
2428,1,1,557.4585079813626,22.1691953125,68.18701171875,180.6731414794922,206.46212768554688,-106.26821899414062,68.34438623715675,111.65561376284325,10.951489448547363,321693678.7677174,111.81298828125
2429,1,0,557.4842859499647,31.534458984375,72.48802185058594,152.93167114257812,226.88372802734375,-107.39861297607422,72.64594028413019,107.35405971586981,36.089210510253906,321693699.14577514,107.51197814941406
2430,1,1,557.5169909669545,10.2906083984375,66.3337631225586,120.36802673339844,212.77975463867188,-108.46524047851562,66.49237163196133,113.50762836803867,64.94570922851562,321693725.5698652,113.6662368774414
2431,1,1,557.5169909669545,23.092080078125,67.9869613647461,233.66903686523438,63.23689651489258,-108.46524047851562,68.14556987414883,111.85443012585117,40.513179779052734,321693725.5894774,112.0130386352539
2432,1,1,557.5169909669545,10.9237197265625,67.49327850341797,198.4437713623047,78.09385681152344,-108.46524047851562,67.65188701282071,112.34811298717929,8.494711875915527,321693736.4120133,112.50672149658203
2433,1,1,557.658467006167,14.4798984375,67.90965270996094,151.06198120117188,214.33802795410156,-108.92825317382812,68.07124636379106,111.92875363620894,35.70880889892578,321693812.39987105,112.09034729003906
2434,1,1,557.9582438472811,15.484076171875,67.42425537109375,227.20933532714844,68.50276184082031,-94.10594177246094,67.59217431627138,112.40782568372862,45.10828399658203,321693938.07446945,112.57574462890625
2435,1,1,557.9582438472811,10.5909755859375,68.05937957763672,154.0342254638672,178.8096160888672,-94.10594177246094,68.22729852281435,111.77270147718565,37.867855072021484,321693951.742672,111.94062042236328
2436,1,1,558.3551378105169,18.1688671875,68.09153747558594,152.6594696044922,162.473388671875,-82.87010955810547,68.26783088338784,111.73216911661216,41.86348342895508,321694051.8228927,111.90846252441406
2437,1,1,558.4646626076096,14.1424052734375,68.44670104980469,160.88990783691406,150.39593505859375,-80.91666412353516,68.62530543082525,111.37469456917475,37.16069412231445,321694074.5736437,111.55329895019531
2438,1,0,558.4646626076096,17.09617578125,67.71658325195312,150.16836547851562,157.2683563232422,-80.91666412353516,67.89518763297369,112.10481236702631,45.05404281616211,321694100.3232665,112.28341674804688
2439,1,1,558.5799204737402,51.16684765625,68.37342834472656,194.7463836669922,90.34781646728516,-79.11759185791016,68.55446466672248,111.44553533327752,36.684879302978516,321694128.0649476,111.62657165527344
2440,1,1,559.2064549504831,18.06113671875,67.66203308105469,232.2211151123047,48.16407012939453,-71.83243560791016,67.85628928050988,112.14371071949012,68.058349609375,321694278.0232315,112.33796691894531
2441,1,1,559.5858833398622,11.3888017578125,67.97972106933594,140.72598266601562,139.14529418945312,-68.6888427734375,68.18198320780704,111.81801679219296,55.221405029296875,321694354.1181648,112.02027893066406
2442,1,1,559.5858833398622,17.795724609375,87.9471206665039,148.3979034423828,149.20687866210938,-68.6888427734375,88.149382804975,91.850617195025,35.4959831237793,321694367.4640259,92.0528793334961
2443,1,1,559.7085456313246,60.0188125,68.0025405883789,154.32138061523438,122.8060531616211,-67.81023406982422,68.20739090119986,111.79260909880014,48.87649154663086,321694390.9788278,111.9974594116211
2444,1,1,559.8274171390312,54.74645703125,68.21682739257812,187.47628784179688,79.86246490478516,-67.01361083984375,68.42418589421169,111.57581410578831,46.75143051147461,321694408.0266605,111.78317260742188
2445,1,1,559.9425267154354,17.963640625,67.79190063476562,140.85247802734375,131.2621307373047,-66.29410552978516,68.00168794846131,111.99831205153869,56.186214447021484,321694461.12510526,112.20809936523438
2446,1,1,560.0499875222675,15.2978291015625,67.75218963623047,190.69876098632812,72.40901947021484,-65.65156555175781,67.96424437295032,112.03575562704968,49.97267532348633,321694476.34363675,112.24781036376953
2447,1,1,560.3238087709157,28.59148046875,68.25579833984375,156.22557067871094,108.85710144042969,-64.17317199707031,68.47363070491006,111.52636929508994,50.02046585083008,321694571.4711851,111.74420166015625
2448,1,1,560.504891089005,76.2195390625,67.7909927368164,194.4558868408203,58.51336669921875,-63.35421371459961,68.0126459387944,111.9873540612056,54.54082107543945,321694670.9252719,112.2090072631836
2449,1,1,560.5498976103099,12.50296484375,68.10601806640625,173.13267517089844,80.7879638671875,-63.1646728515625,68.32862090598378,111.67137909401622,48.92589569091797,321694705.5196801,111.89398193359375
2450,1,1,560.5498976103099,10.322642578125,67.98133850097656,163.9344940185547,91.76866912841797,-63.1646728515625,68.2039413405541,111.7960586594459,49.173248291015625,321694711.1673906,112.01866149902344
2451,1,1,560.5483041914173,11.28529296875,95.39295959472656,167.19346618652344,88.98355865478516,-63.17686462402344,95.61552881316547,84.38447118683453,21.540546417236328,321694734.010687,84.60704040527344
2452,1,0,560.526557591167,29.122658203125,67.708740234375,126.03018188476562,125.98599243164062,-63.2617073059082,67.93085059954862,112.06914940045138,63.71218490600586,321694787.3525935,112.291259765625
2453,1,1,560.3486575745899,15.263072265625,68.0682601928711,179.47354125976562,63.787879943847656,-63.94916534423828,68.28661686769495,111.71338313230505,49.4069938659668,321694858.62666756,111.9317398071289
2454,1,1,559.3779271657199,10.338787109375,68.3910140991211,180.7882080078125,45.66014862060547,-67.33131408691406,68.58888836231779,111.41111163768221,46.48973846435547,321695048.77092636,111.6089859008789
2455,1,1,559.3779271657199,19.85948046875,68.2892074584961,182.87193298339844,43.05221939086914,-67.33131408691406,68.48708172169279,111.51291827830721,47.25294494628906,321695050.52159715,111.7107925415039
2456,1,1,558.0942152500854,134.323390625,68.1407699584961,205.98150634765625,33.74897003173828,-56.91748046875,68.3115579002729,111.6884420997271,63.593902587890625,321695179.7167794,111.8592300415039
2457,1,1,558.0942152500854,13.4846328125,67.92046356201172,158.27761840820312,84.5482177734375,-56.91748046875,68.09125150378853,111.90874849621147,61.46330261230469,321695185.13592404,112.07953643798828
2458,1,1,558.0942152500854,14.100859375,67.96852111816406,198.9981231689453,41.5493049621582,-56.91748046875,68.13930905994087,111.86069094005913,61.723472595214844,321695185.2095635,112.03147888183594
2459,1,1,556.3898742061176,240.44615625,68.2225341796875,193.25112915039062,48.534767150878906,-49.971500396728516,68.35736052543658,111.64263947456342,62.10169219970703,321695324.1855696,111.7774658203125
2460,1,1,554.0292485501662,133.654265625,68.59457397460938,200.3974151611328,35.70393753051758,-50.00241470336914,68.67959111901789,111.32040888098211,62.15660858154297,321695451.5346716,111.40542602539062
2461,1,1,551.8923383710486,18.99786328125,68.28131103515625,219.31655883789062,10.422419548034668,-50.001468658447266,68.32123937478538,111.67876062521462,66.31282806396484,321695573.80454016,111.71868896484375
2462,1,1,551.8923383710486,10.6670224609375,68.69698333740234,185.3893585205078,44.53068542480469,-50.001468658447266,68.73691167703147,111.26308832296853,61.77950668334961,321695585.64695853,111.30301666259766
2463,1,1,549.6766860270582,11.571365234375,107.38465118408203,170.67709350585938,77.59461212158203,-50.000579833984375,107.37782925925296,72.62217074074704,31.626890182495117,321695700.1058876,72.61534881591797
2464,1,1,549.6766860270582,18.16509375,68.26871490478516,190.14346313476562,31.574249267578125,-50.000579833984375,68.26189297995609,111.73810702004391,62.001224517822266,321695709.6116336,111.73128509521484
2465,1,1,548.579602203041,10.6450205078125,88.25581359863281,150.1853790283203,77.64682006835938,-49.999481201171875,88.22584320511697,91.77415679488303,60.143280029296875,321695767.9037136,91.74418640136719
2466,1,1,544.1079777963143,24.623064453125,68.25496673583984,191.5452880859375,4.597591400146484,-49.999755859375,68.13064506734207,111.86935493265793,62.481834411621094,321696029.7767552,111.74503326416016
2467,1,1,543.2829979587857,40.71075390625,67.45392608642578,184.86825561523438,6.237344741821289,-49.99962615966797,67.31219734335616,112.68780265664384,64.70059204101562,321696086.8183056,112.54607391357422
2468,1,1,541.87661146881,23.103736328125,107.89420318603516,166.80113220214844,42.90324020385742,-50.0001220703125,107.72279968802705,72.27720031197295,38.91006088256836,321696206.45070666,72.10579681396484
2469,1,1,541.0611806746034,10.8581083984375,111.57994842529297,158.84373474121094,45.891937255859375,-50.00065231323242,111.3913393375271,68.6086606624729,42.9477653503418,321696310.23607033,68.42005157470703
2470,1,1,540.8405011571405,23.86181640625,76.58961486816406,196.11083984375,336.18927001953125,-50.00047302246094,76.39634944257972,103.60365055742028,53.9683952331543,321696328.2655912,103.41038513183594
