5.59988e+07,
5.59993e+07,
5.60046e+07,
5.60099e+07,
5.60132e+07,
5.60172e+07,
5.60167e+07,
5.60157e+07,
5.60163e+07,
5.60164e+07,
5.60155e+07,
5.60141e+07,
5.60124e+07,
5.60101e+07,
5.6007e+07,
5.60041e+07,
5.60005e+07,
5.59979e+07,
5.5994e+07,
5.59892e+07,
5.59854e+07,
5.59818e+07,
5.59773e+07,
5.59737e+07,
5.59703e+07,
5.59669e+07,
5.59635e+07,
5.59597e+07,
5.59562e+07,
5.59518e+07,
5.5946e+07,
5.59396e+07,
5.59336e+07,
5.59276e+07,
5.59227e+07,
5.59176e+07,
5.59114e+07,
5.59067e+07,
5.59018e+07,
5.5898e+07,
5.58955e+07,
5.58924e+07,
5.58893e+07,
5.58863e+07,
5.58827e+07,
5.58798e+07,
5.58765e+07,
5.58727e+07,
5.58678e+07,
5.58636e+07,
5.58578e+07,
5.5852e+07,
5.58462e+07,
5.58406e+07,
5.58344e+07,
5.58282e+07,
5.58216e+07,
5.58144e+07,
5.58074e+07,
5.57999e+07,
5.57927e+07,
5.57837e+07,
5.57754e+07,
5.57674e+07,
5.57598e+07,
5.57509e+07,
5.57404e+07,
5.57295e+07,
5.57184e+07,
5.57069e+07,
5.56956e+07,
5.56845e+07,
5.56734e+07,
5.56619e+07,
5.56502e+07,
5.56387e+07,
5.56268e+07,
5.56147e+07,
5.56007e+07,
5.55878e+07,
5.55749e+07,
5.55617e+07,
5.55495e+07,
5.5536e+07,
5.5523e+07,
5.55093e+07,
5.54954e+07,
5.54814e+07,
5.54667e+07,
5.54524e+07,
5.54376e+07,
5.54219e+07,
5.54057e+07,
5.53896e+07,
5.5373e+07,
5.53569e+07,
5.53404e+07,
5.5324e+07,
5.53081e+07,
5.52915e+07,
5.52747e+07,
5.52586e+07,
5.52418e+07,
5.52248e+07,
5.52084e+07,
5.51915e+07,
5.51746e+07,
5.51588e+07,
5.51418e+07,
5.5125e+07,
5.51084e+07,
5.50918e+07,
5.50744e+07,
5.50575e+07,
5.50406e+07,
5.50235e+07,
5.50074e+07,
5.49907e+07,
5.49744e+07,
5.49568e+07,
5.49384e+07,
5.49208e+07,
5.49033e+07,
5.48857e+07,
5.4867e+07,
5.4849e+07,
5.48307e+07,
5.48121e+07,
5.47933e+07,
5.47741e+07,
5.47536e+07,
5.4734e+07,
5.47127e+07,
5.46921e+07,
5.4671e+07,
5.4649e+07,
5.46268e+07,
5.46039e+07,
5.45809e+07,
5.45571e+07,
5.45328e+07,
5.45083e+07,
5.4484e+07,
5.44595e+07,
5.4435e+07,
5.44098e+07,
5.43846e+07,
5.43589e+07,
5.43335e+07,
5.43084e+07,
5.42839e+07,
5.42594e+07,
5.42348e+07,
5.42115e+07,
5.41878e+07,
5.41647e+07,
5.41417e+07,
5.41193e+07,
5.4098e+07,
5.40766e+07,
5.40555e+07,
5.40352e+07,
5.4016e+07,
5.39968e+07,
5.39774e+07,
5.39591e+07,
5.39407e+07,
5.39234e+07,
5.39065e+07,
5.38905e+07,
5.38738e+07,
5.38578e+07,
5.38421e+07,
5.38267e+07,
5.38109e+07,
5.37956e+07,
5.37802e+07,
5.37656e+07,
5.37514e+07,
5.37372e+07,
5.37221e+07,
5.3707e+07,
5.36932e+07,
5.3679e+07,
5.36655e+07,
5.36527e+07,
5.36394e+07,
5.36267e+07,
5.36143e+07,
5.36024e+07,
5.35899e+07,
5.35782e+07,
5.35662e+07,
5.35544e+07,
5.35427e+07,
5.3531e+07,
5.35193e+07,
5.3508e+07,
5.34958e+07,
5.34848e+07,
5.34735e+07,
5.34616e+07,
5.345e+07,
5.3439e+07,
5.34282e+07,
5.34181e+07,
5.34075e+07,
5.33977e+07,
5.33874e+07,
5.33782e+07,
5.33686e+07,
5.33589e+07,
5.33499e+07,
5.33402e+07,
5.33308e+07,
5.33216e+07,
5.33125e+07,
5.33035e+07,
5.32946e+07,
5.32856e+07,
5.32769e+07,
5.32691e+07,
5.32615e+07,
5.32543e+07,
5.32471e+07,
5.32401e+07,
5.32335e+07,
5.32269e+07,
5.32203e+07,
5.32138e+07,
5.32074e+07,
5.3201e+07,
5.31946e+07,
5.3189e+07,
5.31831e+07,
5.31777e+07,
5.3172e+07,
5.31671e+07,
5.31619e+07,
5.31565e+07,
5.3152e+07,
5.31471e+07,
