theta_lat,eff_m2
0.000000,0.896866
1.000000,0.896866
2.000000,0.896866
3.000000,0.896866
4.000000,0.896866
5.000000,0.896866
6.000000,0.896866
7.000000,0.896866
8.000000,0.896866
9.000000,0.896866
10.000000,0.892276
11.000000,0.886853
12.000000,0.880920
13.000000,0.874479
14.000000,0.867532
15.000000,0.860081
16.000000,0.852743
17.000000,0.846753
18.000000,0.840411
19.000000,0.833719
20.000000,0.826678
21.000000,0.820788
22.000000,0.815499
23.000000,0.809976
24.000000,0.804222
25.000000,0.805186
26.000000,0.796255
27.000000,0.798508
28.000000,0.796151
29.000000,0.789983
30.000000,0.783617
31.000000,0.777122
32.000000,0.770480
33.000000,0.763650
34.000000,0.757300
35.000000,0.750877
36.000000,0.742477
37.000000,0.747272
38.000000,0.734543
39.000000,0.721725
40.000000,0.708638
41.000000,0.697442
42.000000,0.687026
43.000000,0.676416
44.000000,0.665615
45.000000,0.653551
46.000000,0.638854
47.000000,0.624066
48.000000,0.607799
49.000000,0.594168
50.000000,0.583352
51.000000,0.566958
52.000000,0.546777
53.000000,0.524121
54.000000,0.497337
55.000000,0.488926
56.000000,0.476948
57.000000,0.452000
58.000000,0.428635
59.000000,0.406791
60.000000,0.385596
61.000000,0.352854
62.000000,0.330067
63.000000,0.309815
64.000000,0.291653
65.000000,0.268168
66.000000,0.243157
67.000000,0.217762
68.000000,0.189652
69.000000,0.163162
70.000000,0.141965
