theta_lat,eff_m2
0.000000,0.817590
1.000000,0.817590
2.000000,0.817590
3.000000,0.817590
4.000000,0.817590
5.000000,0.817590
6.000000,0.817590
7.000000,0.817590
8.000000,0.817590
9.000000,0.817590
10.000000,0.811296
11.000000,0.803861
12.000000,0.795726
13.000000,0.786895
14.000000,0.777370
15.000000,0.767154
16.000000,0.757998
17.000000,0.753407
18.000000,0.748546
19.000000,0.743417
20.000000,0.738021
21.000000,0.733343
22.000000,0.729023
23.000000,0.724513
24.000000,0.719814
25.000000,0.718372
26.000000,0.707484
27.000000,0.706594
28.000000,0.708503
29.000000,0.712728
30.000000,0.717088
31.000000,0.713406
32.000000,0.704050
33.000000,0.694430
34.000000,0.683524
35.000000,0.672187
36.000000,0.661696
37.000000,0.668070
38.000000,0.659138
39.000000,0.647322
40.000000,0.635112
41.000000,0.624251
42.000000,0.613913
43.000000,0.602703
44.000000,0.590653
45.000000,0.580020
46.000000,0.574776
47.000000,0.563967
48.000000,0.550470
49.000000,0.538373
50.000000,0.527776
51.000000,0.513303
52.000000,0.496187
53.000000,0.480688
54.000000,0.468097
55.000000,0.456979
56.000000,0.443884
57.000000,0.424101
58.000000,0.402726
59.000000,0.379814
60.000000,0.355142
61.000000,0.316552
62.000000,0.288977
63.000000,0.263834
64.000000,0.240691
65.000000,0.214858
66.000000,0.187870
67.000000,0.159154
68.000000,0.135037
69.000000,0.112241
70.000000,0.090196
