theta_lat,eff_m2
0.000000,0.901009
1.000000,0.901009
2.000000,0.901009
3.000000,0.901009
4.000000,0.901009
5.000000,0.901009
6.000000,0.901009
7.000000,0.901009
8.000000,0.901009
9.000000,0.901009
10.000000,0.897085
11.000000,0.892448
12.000000,0.887376
13.000000,0.881869
14.000000,0.875930
15.000000,0.869560
16.000000,0.863066
17.000000,0.857060
18.000000,0.850702
19.000000,0.843993
20.000000,0.836935
21.000000,0.831141
22.000000,0.826022
23.000000,0.820677
24.000000,0.815107
25.000000,0.812068
26.000000,0.798587
27.000000,0.795837
28.000000,0.794920
29.000000,0.795508
30.000000,0.796114
31.000000,0.793597
32.000000,0.788867
33.000000,0.784002
34.000000,0.771896
35.000000,0.758463
36.000000,0.747017
37.000000,0.759071
38.000000,0.751531
39.000000,0.740214
40.000000,0.728468
41.000000,0.716391
42.000000,0.704030
43.000000,0.689386
44.000000,0.672556
45.000000,0.659376
46.000000,0.643767
47.000000,0.634357
48.000000,0.623383
49.000000,0.609741
50.000000,0.593281
51.000000,0.575036
52.000000,0.555520
53.000000,0.539468
54.000000,0.523385
55.000000,0.507632
56.000000,0.491103
57.000000,0.472434
58.000000,0.450415
59.000000,0.425167
60.000000,0.407086
61.000000,0.381506
62.000000,0.355744
63.000000,0.331475
64.000000,0.308424
65.000000,0.289835
66.000000,0.266951
67.000000,0.238633
68.000000,0.211092
69.000000,0.185322
70.000000,0.162110
