theta_lat,eff_m2
0.000000,0.602185
1.000000,0.602185
2.000000,0.602185
3.000000,0.602185
4.000000,0.602185
5.000000,0.602185
6.000000,0.602185
7.000000,0.602185
8.000000,0.602185
9.000000,0.602185
10.000000,0.597256
11.000000,0.591433
12.000000,0.585062
13.000000,0.578146
14.000000,0.570686
15.000000,0.562685
16.000000,0.555320
17.000000,0.550947
18.000000,0.546317
19.000000,0.541432
20.000000,0.536293
21.000000,0.532286
22.000000,0.528904
23.000000,0.525373
24.000000,0.521694
25.000000,0.521553
26.000000,0.516141
27.000000,0.516698
28.000000,0.519886
29.000000,0.525259
30.000000,0.530803
31.000000,0.529888
32.000000,0.524435
33.000000,0.518828
34.000000,0.513369
35.000000,0.507810
36.000000,0.501119
37.000000,0.516468
38.000000,0.507021
39.000000,0.499236
40.000000,0.491375
41.000000,0.483551
42.000000,0.475662
43.000000,0.470261
44.000000,0.467232
45.000000,0.462590
46.000000,0.443316
47.000000,0.436797
48.000000,0.430366
49.000000,0.421153
50.000000,0.408996
51.000000,0.396628
52.000000,0.384061
53.000000,0.372471
54.000000,0.374173
55.000000,0.357368
56.000000,0.340038
57.000000,0.321770
58.000000,0.304467
59.000000,0.288091
60.000000,0.271721
61.000000,0.252992
62.000000,0.233514
63.000000,0.213507
64.000000,0.193034
65.000000,0.170159
66.000000,0.148700
67.000000,0.134287
68.000000,0.114341
69.000000,0.094709
70.000000,0.076538
