theta_lat,eff_m2
0.000000,0.528681
1.000000,0.528681
2.000000,0.528681
3.000000,0.528681
4.000000,0.528681
5.000000,0.528681
6.000000,0.528681
7.000000,0.528681
8.000000,0.528681
9.000000,0.528681
10.000000,0.524592
11.000000,0.519761
12.000000,0.514476
13.000000,0.508739
14.000000,0.502550
15.000000,0.495913
16.000000,0.489100
17.000000,0.482656
18.000000,0.475834
19.000000,0.468634
20.000000,0.461061
21.000000,0.458411
22.000000,0.458739
23.000000,0.459081
24.000000,0.459438
25.000000,0.457060
26.000000,0.445778
27.000000,0.442812
28.000000,0.445065
29.000000,0.451631
30.000000,0.458406
31.000000,0.458004
32.000000,0.452564
33.000000,0.446970
34.000000,0.447590
35.000000,0.449130
36.000000,0.447868
37.000000,0.469138
38.000000,0.461673
39.000000,0.454070
40.000000,0.446303
41.000000,0.439952
42.000000,0.434204
43.000000,0.425186
44.000000,0.413041
45.000000,0.405192
46.000000,0.398303
47.000000,0.393704
48.000000,0.385750
49.000000,0.378202
50.000000,0.371094
51.000000,0.359337
52.000000,0.344432
53.000000,0.332583
54.000000,0.338456
55.000000,0.322041
56.000000,0.306539
57.000000,0.294963
58.000000,0.279603
59.000000,0.260597
60.000000,0.246601
61.000000,0.225375
62.000000,0.205618
63.000000,0.187053
64.000000,0.169461
65.000000,0.146357
66.000000,0.127043
67.000000,0.118460
68.000000,0.097665
69.000000,0.077112
70.000000,0.063789
