theta_lat,eff_m2
0.000000,0.760056
1.000000,0.760056
2.000000,0.760056
3.000000,0.760056
4.000000,0.760056
5.000000,0.760056
6.000000,0.760056
7.000000,0.760056
8.000000,0.760056
9.000000,0.760056
10.000000,0.754488
11.000000,0.747909
12.000000,0.740711
13.000000,0.732898
14.000000,0.724470
15.000000,0.715431
16.000000,0.706911
17.000000,0.701171
18.000000,0.695094
19.000000,0.688682
20.000000,0.681936
21.000000,0.674058
22.000000,0.665347
23.000000,0.656250
24.000000,0.646772
25.000000,0.645561
26.000000,0.642134
27.000000,0.642404
28.000000,0.642496
29.000000,0.642441
30.000000,0.642385
31.000000,0.639262
32.000000,0.633960
33.000000,0.628509
34.000000,0.617017
35.000000,0.604389
36.000000,0.592414
37.000000,0.595259
38.000000,0.584412
39.000000,0.574441
40.000000,0.564308
41.000000,0.555249
42.000000,0.546603
43.000000,0.534359
44.000000,0.518675
45.000000,0.504885
46.000000,0.484680
47.000000,0.472011
48.000000,0.457196
49.000000,0.444335
50.000000,0.433563
51.000000,0.420041
52.000000,0.404627
53.000000,0.389652
54.000000,0.376982
55.000000,0.358778
56.000000,0.339978
57.000000,0.319903
58.000000,0.302663
59.000000,0.288153
60.000000,0.269542
61.000000,0.243319
62.000000,0.225293
63.000000,0.207910
64.000000,0.191041
65.000000,0.170114
66.000000,0.148343
67.000000,0.127222
68.000000,0.109472
69.000000,0.092790
70.000000,0.075140
