theta_lat,eff_m2
0.000000,0.747239
1.000000,0.747239
2.000000,0.747239
3.000000,0.747239
4.000000,0.747239
5.000000,0.747239
6.000000,0.747239
7.000000,0.747239
8.000000,0.747239
9.000000,0.747239
10.000000,0.743707
11.000000,0.739534
12.000000,0.734969
13.000000,0.730013
14.000000,0.724668
15.000000,0.718935
16.000000,0.712293
17.000000,0.703701
18.000000,0.694603
19.000000,0.685003
20.000000,0.674904
21.000000,0.668509
22.000000,0.664278
23.000000,0.659859
24.000000,0.655254
25.000000,0.654735
26.000000,0.644725
27.000000,0.644966
28.000000,0.643675
29.000000,0.641114
30.000000,0.638471
31.000000,0.633273
32.000000,0.626239
33.000000,0.619006
34.000000,0.607940
35.000000,0.596066
36.000000,0.586427
37.000000,0.600896
38.000000,0.595695
39.000000,0.583329
40.000000,0.570339
41.000000,0.556385
42.000000,0.541827
43.000000,0.531601
44.000000,0.525503
45.000000,0.513829
46.000000,0.489855
47.000000,0.474849
48.000000,0.464938
49.000000,0.454520
50.000000,0.443577
51.000000,0.428792
52.000000,0.411385
53.000000,0.395289
54.000000,0.374487
55.000000,0.359159
56.000000,0.342995
57.000000,0.324402
58.000000,0.308469
59.000000,0.295093
60.000000,0.276427
61.000000,0.255601
62.000000,0.236187
63.000000,0.216879
64.000000,0.197635
65.000000,0.175332
66.000000,0.153446
67.000000,0.129866
68.000000,0.115015
69.000000,0.099378
70.000000,0.077199
