theta_lat,eff_m2
0.000000,0.837125
1.000000,0.837125
2.000000,0.837125
3.000000,0.837125
4.000000,0.837125
5.000000,0.837125
6.000000,0.837125
7.000000,0.837125
8.000000,0.837125
9.000000,0.837125
10.000000,0.830524
11.000000,0.822726
12.000000,0.814195
13.000000,0.804934
14.000000,0.794944
15.000000,0.784230
16.000000,0.774519
17.000000,0.769267
18.000000,0.763707
19.000000,0.757839
20.000000,0.751667
21.000000,0.746814
22.000000,0.742685
23.000000,0.738374
24.000000,0.733882
25.000000,0.733569
26.000000,0.723765
27.000000,0.724230
28.000000,0.726576
29.000000,0.730484
30.000000,0.734516
31.000000,0.731371
32.000000,0.723164
33.000000,0.714724
34.000000,0.702351
35.000000,0.689129
36.000000,0.677437
37.000000,0.684421
38.000000,0.675693
39.000000,0.664051
40.000000,0.652018
41.000000,0.642252
42.000000,0.633458
43.000000,0.621492
44.000000,0.606492
45.000000,0.593734
46.000000,0.587530
47.000000,0.577357
48.000000,0.566742
49.000000,0.554512
50.000000,0.540581
51.000000,0.525352
52.000000,0.509190
53.000000,0.492735
54.000000,0.478705
55.000000,0.469752
56.000000,0.458543
57.000000,0.439362
58.000000,0.417681
59.000000,0.393591
60.000000,0.366738
61.000000,0.325866
62.000000,0.299001
63.000000,0.273209
64.000000,0.248281
65.000000,0.224823
66.000000,0.198851
67.000000,0.168182
68.000000,0.144367
69.000000,0.121754
70.000000,0.097939
