theta_lat,eff_m2
0.000000,0.902817
1.000000,0.902817
2.000000,0.902817
3.000000,0.902817
4.000000,0.902817
5.000000,0.902817
6.000000,0.902817
7.000000,0.902817
8.000000,0.902817
9.000000,0.902817
10.000000,0.898719
11.000000,0.893878
12.000000,0.888581
13.000000,0.882831
14.000000,0.876629
15.000000,0.869978
16.000000,0.863098
17.000000,0.856432
18.000000,0.849374
19.000000,0.841927
20.000000,0.834092
21.000000,0.829039
22.000000,0.825605
23.000000,0.822019
24.000000,0.818282
25.000000,0.814315
26.000000,0.799363
27.000000,0.795116
28.000000,0.793479
29.000000,0.793984
30.000000,0.794505
31.000000,0.792480
32.000000,0.788650
33.000000,0.784711
34.000000,0.772724
35.000000,0.759294
36.000000,0.747536
37.000000,0.758644
38.000000,0.750120
39.000000,0.738875
40.000000,0.727257
41.000000,0.715378
42.000000,0.703249
43.000000,0.688779
44.000000,0.672067
45.000000,0.659250
46.000000,0.644303
47.000000,0.635586
48.000000,0.625328
49.000000,0.611989
50.000000,0.595395
51.000000,0.575987
52.000000,0.554619
53.000000,0.539530
54.000000,0.525281
55.000000,0.509303
56.000000,0.492239
57.000000,0.472128
58.000000,0.449444
59.000000,0.424281
60.000000,0.408857
61.000000,0.385397
62.000000,0.356919
63.000000,0.331826
64.000000,0.309526
65.000000,0.290056
66.000000,0.266589
67.000000,0.238451
68.000000,0.211004
69.000000,0.185167
70.000000,0.161441
