theta_lat,eff_m2
0.000000,0.877939
1.000000,0.877939
2.000000,0.877939
3.000000,0.877939
4.000000,0.877939
5.000000,0.877939
6.000000,0.877939
7.000000,0.877939
8.000000,0.877939
9.000000,0.877939
10.000000,0.873601
11.000000,0.868476
12.000000,0.862868
13.000000,0.856781
14.000000,0.850215
15.000000,0.843173
16.000000,0.836008
17.000000,0.829422
18.000000,0.822450
19.000000,0.815093
20.000000,0.807353
21.000000,0.801363
22.000000,0.796340
23.000000,0.791096
24.000000,0.785631
25.000000,0.787705
26.000000,0.775470
27.000000,0.779039
28.000000,0.781215
29.000000,0.782254
30.000000,0.783326
31.000000,0.780218
32.000000,0.774150
33.000000,0.767911
34.000000,0.762344
35.000000,0.756752
36.000000,0.748327
37.000000,0.759638
38.000000,0.744928
39.000000,0.734212
40.000000,0.723482
41.000000,0.715430
42.000000,0.708563
43.000000,0.698272
44.000000,0.684707
45.000000,0.670729
46.000000,0.650911
47.000000,0.636576
48.000000,0.622308
49.000000,0.606904
50.000000,0.590313
51.000000,0.574815
52.000000,0.559972
53.000000,0.545444
54.000000,0.534877
55.000000,0.517428
56.000000,0.498515
57.000000,0.475329
58.000000,0.453603
59.000000,0.433281
60.000000,0.409921
61.000000,0.378722
62.000000,0.354468
63.000000,0.331033
64.000000,0.308251
65.000000,0.281421
66.000000,0.253062
67.000000,0.229833
68.000000,0.201751
69.000000,0.174228
70.000000,0.145858
