,DEC_SCX,DEC_SCZ,DEC_ZENITH,LIVETIME,RA_SCX,RA_SCZ,RA_ZENITH,ROCK_ANGLE,START,STOP
0,-21.64081382751465,43.998756408691406,0.21979385614395142,27.645662145900996,93.16809844970703,160.640869140625,187.7725830078125,49.99477767944336,333509194.64845186,333509224.6
1,-20.862043380737305,44.75153732299805,1.0338891744613647,27.71288326557092,94.16976165771484,161.9714813232422,189.473388671875,50.020362854003906,333509224.6,333509254.6
2,-20.062776565551758,45.48535919189453,1.8483712673187256,27.690937454801976,95.18843841552734,163.38323974609375,191.17782592773438,49.993072509765625,333509254.6,333509284.6
3,-19.31490707397461,46.228172302246094,2.661195755004883,27.693473905046066,96.1878662109375,164.72830200195312,192.88380432128906,49.99919891357422,333509284.6,333509314.6
4,-18.557222366333008,46.98965072631836,3.471656084060669,27.706544116283663,97.19680786132812,166.1045684814453,194.59201049804688,50.00516891479492,333509314.6,333509344.6
5,-17.797779083251953,47.75410079956055,4.2790069580078125,27.671804249965668,98.2073974609375,167.50778198242188,196.30311584472656,50.00124740600586,333509344.6,333509374.6
6,-17.047977447509766,48.52408218383789,5.08252477645874,27.63647312851997,99.21095275878906,168.91346740722656,198.01779174804688,50.0006217956543,333509374.6,333509404.6
7,-16.30094337463379,49.30120086669922,5.881462574005127,27.638296787090283,100.20929718017578,170.33209228515625,199.73670959472656,50.00093078613281,333509404.6,333509434.6
8,-15.554240226745605,50.08453369140625,6.675098419189453,27.59931664290526,101.20172882080078,171.76817321777344,201.46051025390625,50.00044631958008,333509434.6,333509464.6
9,-14.808133125305176,50.873374938964844,7.462680816650391,27.547682707106894,102.18548583984375,173.2205047607422,203.1898651123047,50.00005340576172,333509464.6,333509494.6
10,-14.062819480895996,51.66669464111328,8.243477821350098,27.53268795084895,103.16010284423828,174.69058227539062,204.9253692626953,49.999305725097656,333509494.6,333509524.6
11,-13.316944122314453,52.46550369262695,9.016740798950195,27.485240385173103,104.12516784667969,176.18087768554688,206.6676483154297,49.99900436401367,333509524.6,333509554.6
12,-12.570178985595703,53.267669677734375,9.781719207763672,27.431802680803678,105.07698822021484,177.6915283203125,208.41732788085938,49.99855422973633,333509554.6,333509584.6
13,-11.82236099243164,54.07325744628906,10.537657737731934,27.386523532814135,106.01749420166016,179.22671508789062,210.17495727539062,49.99750518798828,333509584.6,333509614.6
14,-11.073406219482422,54.882774353027344,11.283797264099121,27.325018486338237,106.94468688964844,180.7865447998047,211.9411163330078,49.9974250793457,333509614.6,333509644.6
15,-10.322315216064453,55.694149017333984,12.019376754760742,27.211946960350442,107.85645294189453,182.374267578125,213.7163543701172,49.99678421020508,333509644.6,333509674.6
16,-9.569076538085938,56.50705337524414,12.743626594543457,27.12982635518791,108.75430297851562,183.9944610595703,215.5011749267578,49.99504470825195,333509674.6,333509704.6
17,-8.815895080566406,57.322669982910156,13.455792427062988,27.086200980254006,109.63597869873047,185.6436767578125,217.2960662841797,49.99578857421875,333509704.6,333509734.6
18,-8.060410499572754,58.13828659057617,14.155084609985352,26.96967883822088,110.5009536743164,187.3301239013672,219.1014862060547,49.995574951171875,333509734.6,333509764.6
19,-7.302934169769287,58.95401382446289,14.840726852416992,26.87891055590224,111.34930419921875,189.05703735351562,220.91786193847656,49.99503707885742,333509764.6,333509794.6
20,-6.54401969909668,59.76871871948242,15.51194953918457,26.787143712484912,112.17862701416016,190.82574462890625,222.74557495117188,49.994651794433594,333509794.6,333509824.6
21,-5.784642696380615,60.58124923706055,16.167972564697266,26.682359864654035,112.99072265625,192.64129638671875,224.58499145507812,49.99376678466797,333509824.6,333509854.6
22,-5.023979663848877,61.39260482788086,16.80802345275879,26.510430601328398,113.78296661376953,194.50701904296875,226.4364013671875,49.994075775146484,333509854.6,333509884.6
23,-4.262310028076172,62.199012756347656,17.431320190429688,26.352430893671563,114.554931640625,196.42892456054688,228.3000946044922,49.993003845214844,333509884.6,333509914.6
24,-3.4997549057006836,63.002201080322266,18.037090301513672,26.21386781541186,115.30535125732422,198.41085815429688,230.17626953125,49.993011474609375,333509914.6,333509944.6
25,-2.739633560180664,63.798885345458984,18.62456512451172,26.093445426421983,116.03767395019531,200.45721435546875,232.0651092529297,49.99277114868164,333509944.6,333509974.6
26,-1.9802427291870117,64.58940887451172,19.192977905273438,25.900813941355054,116.75049591064453,202.57675170898438,233.9667205810547,49.9926643371582,333509974.6,333510004.6
27,-1.2217381000518799,65.3714828491211,19.741580963134766,25.807742687250865,117.43903350830078,204.7726593017578,235.8811492919922,49.99290084838867,333510004.6,333510034.6
28,-0.4651753604412079,66.14384460449219,20.26962661743164,25.642945134652674,118.10755920410156,207.05557250976562,237.80841064453125,49.992671966552734,333510034.6,333510064.6
29,0.2891350984573364,66.90547943115234,20.776371002197266,25.49577927512619,118.75225067138672,209.43031311035156,239.74844360351562,49.99319839477539,333510064.6,333510094.6
30,1.0416560173034668,67.65184020996094,21.261098861694336,25.39361130086602,119.37530517578125,211.91015625,241.7011260986328,49.99110794067383,333510094.6,333510124.6
31,1.7870417833328247,68.3895034790039,21.723102569580078,25.28166358505866,119.97456359863281,214.49183654785156,243.666259765625,49.996002197265625,333510124.6,333510154.6
32,2.5282111167907715,69.10124206542969,22.161691665649414,25.18363709232977,120.54927825927734,217.18959045410156,245.64361572265625,49.99447250366211,333510154.6,333510184.6
33,3.270451068878174,69.79778289794922,22.576221466064453,25.123705380543896,121.09618377685547,220.02976989746094,247.63284301757812,49.9937744140625,333510184.6,333510214.6
