,altitude_km,energy_gev,nadir,phi_earth,phi_lat,rocking_angle,shifted_nadir,shifted_zenith,theta_lat,time,zenith
0,543.0123450943888,11.061228515625,68.13997650146484,163.92018127441406,323.6205139160156,-55.00467300415039,67.99253698295645,112.00746301704355,56.976375579833984,443579553.83719224,111.86002349853516
1,542.5164002012029,23.227474609375,67.78848266601562,143.7620086669922,334.8438415527344,-55.002342224121094,67.630578710261,112.369421289739,58.40548324584961,443579746.5510104,112.21151733398438
2,542.457810126448,15.5402216796875,68.1229476928711,136.8876190185547,341.67095947265625,-55.001853942871094,67.96380748653914,112.03619251346086,59.75072479248047,443579754.9982873,111.8770523071289
3,542.40382242207,11.964904296875,67.72032165527344,152.91419982910156,322.3651428222656,-54.997825622558594,67.56004230837911,112.43995769162089,57.28971862792969,443579795.82880324,112.27967834472656
4,542.36050194861,11.5704853515625,68.10879516601562,130.42578125,345.324462890625,-54.99728775024414,67.9476017571313,112.0523982428687,61.73537826538086,443579809.6621221,111.89120483398438
5,542.3198629811283,447.979625,68.68820190429688,135.0124053955078,337.7071228027344,-54.99845504760742,68.52615101319869,111.47384898680131,59.44432067871094,443579877.9193247,111.31179809570312
6,542.333418977876,102.007828125,67.96086120605469,154.7111358642578,315.0693359375,-54.99842071533203,67.79909634648787,112.20090365351213,56.974037170410156,443579904.3068797,112.03913879394531
7,544.5446884903913,10.299107421875,67.6354751586914,338.8105773925781,130.9470977783203,48.32076644897461,67.52036808583867,112.47963191416133,64.01216125488281,443580558.16752994,112.3645248413086
8,544.7471140988404,16.97733203125,68.77461242675781,355.0138854980469,113.08728790283203,53.62358856201172,68.66377653424334,111.33622346575666,59.30119705200195,443580595.4597054,111.22538757324219
9,546.7026737551373,13.526919921875,68.12676239013672,347.3621826171875,136.97169494628906,55.00312805175781,68.05718880637012,111.94281119362988,57.18545913696289,443580875.85594815,111.87323760986328
10,548.2205504937939,10.335822265625,67.67340850830078,9.651144027709961,128.13893127441406,54.996219635009766,67.63586212371983,112.36413787628017,61.4326057434082,443581097.71617097,112.32659149169922
11,548.6010329957512,10.5081435546875,67.70964050292969,324.3635559082031,182.3088836669922,54.999168395996094,67.68012229914004,112.31987770085996,61.875701904296875,443581189.6026977,112.29035949707031
12,548.6010329957512,37.24210546875,68.091552734375,353.6636657714844,153.11135864257812,54.999168395996094,68.06203453058535,111.93796546941465,57.0947151184082,443581215.77958345,111.908447265625
13,548.8216090000808,12.167466796875,67.99935913085938,357.4236755371094,155.63671875,55.00836944580078,67.97449508076107,112.02550491923893,57.2761116027832,443581305.8561024,112.00064086914062
14,548.8629589638288,10.3082275390625,68.60981750488281,358.850341796875,157.44009399414062,55.00567626953125,68.5858259390196,111.4141740609804,56.67780685424805,443581351.5745943,111.39018249511719
15,548.8629589638288,18.85441015625,67.64147186279297,344.3540954589844,174.44126892089844,55.00567626953125,67.61748029692976,112.38251970307024,58.08626174926758,443581365.5973581,112.35852813720703
16,548.7479765352006,55.873296875,67.77256774902344,14.45850944519043,147.47792053222656,55.005619049072266,67.74615005391617,112.25384994608383,59.93263244628906,443581438.1633082,112.22743225097656
17,548.7479765352006,12.525646484375,68.09723663330078,352.1439208984375,172.70301818847656,55.005619049072266,68.07081893819351,111.92918106180649,57.0816764831543,443581453.30457354,111.90276336669922
18,547.0138432670838,39.740703125,67.84949493408203,357.5556640625,187.99380493164062,55.0067138671875,67.7864870270175,112.2135129729825,57.55766677856445,443581726.91490316,112.15050506591797
19,545.1974991007376,15.1698515625,68.55268096923828,23.819292068481445,169.90567016601562,55.0073127746582,68.45134820026384,111.54865179973616,58.31682205200195,443581866.78011096,111.44731903076172
20,545.1974991007376,14.4830537109375,67.62984466552734,40.739505767822266,154.23773193359375,55.0073127746582,67.5285118965529,112.4714881034471,64.94694519042969,443581873.9708199,112.37015533447266
21,544.7729264589842,21.023314453125,67.97688293457031,19.445070266723633,176.35745239257812,55.00737380981445,67.86659168285487,112.13340831714513,57.886924743652344,443581888.6280116,112.02311706542969
22,544.3331972264428,10.1721845703125,68.11328887939453,29.838220596313477,167.98448181152344,55.00730514526367,67.99371934087247,112.00628065912753,59.92488479614258,443581923.6030291,111.88671112060547
23,543.8700667967792,14.02269921875,68.4809341430664,24.64206314086914,175.58412170410156,55.00736618041992,68.35159255247845,111.64840744752155,58.02411651611328,443581955.2227075,111.5190658569336
24,542.4177157363531,12.498453125,68.3894271850586,350.05908203125,219.27940368652344,55.00727081298828,68.22944098709564,111.77055901290436,60.73069763183594,443582042.4695366,111.6105728149414
25,541.4022784966396,11.11059765625,68.11725616455078,359.00787353515625,214.26620483398438,55.00714874267578,67.93584424082988,112.06415575917012,58.8082275390625,443582103.5735979,111.88274383544922
26,541.4022784966396,10.9323828125,69.0645751953125,41.60344696044922,169.1970977783203,55.00714874267578,68.8831632715916,111.1168367284084,61.419742584228516,443582114.49171096,110.9354248046875
27,539.8406938218604,37.39583984375,68.3868408203125,15.370506286621094,201.8131561279297,55.00655746459961,68.17247945995375,111.82752054004625,56.63747787475586,443582180.88052815,111.6131591796875
28,536.7483668521337,12.7296806640625,67.97386169433594,5.199472904205322,225.11868286132812,55.00431442260742,67.69425223491596,112.30574776508404,58.778873443603516,443582371.8863838,112.02613830566406
29,535.7717785909439,11.686650390625,68.89569854736328,46.11205291748047,184.96749877929688,55.003204345703125,68.5954830756322,111.4045169243678,60.873558044433594,443582437.9823558,111.10430145263672
